time,Aceleração (m/s²),Altitude (GPS) (m),Distância percorrida (km),Distância percorrida (total) (km),Espaço livre no tanque de combustível (L),Nível de combustível (%) (%),Nível de combustível (V) (L),Posição do pedal do acelerador D (%),Posição do pedal do acelerador E (%),RPM do motor (rpm),RPM do motor x1000 (rpm),"Temperatura do líquido de 
arrefecimento do motor (℃)",Velocidade (GPS) (km/h),Velocidade do veículo (km/h),Velocidade média (km/h),Velocidade média (GPS) (km/h),Latitude,Longtitude,Unnamed: 19
20:28:36.192,,812.600036621094,,,,,,,,,,,,,,,-23.5562728,-46.8960736,
20:28:36.193,,,,,,,,,,,,,0.0,,,0.0,-23.5562728,-46.8960736,
20:28:36.195,,812.600036621094,,,,,,,,,,,,,,,-23.5562728,-46.8960736,
20:28:36.196,,812.600036621094,,,,,,,,,,,0.0,,,0.0,-23.5562728,-46.8960736,
20:28:37.960,,813.415247662336,,,,,,,,,,,7.1725513458252,,,4.0687815635514,-23.5562728,-46.8960736,
20:28:37.962,,813.415247662336,,,,,,,,,,,7.1725513458252,,,4.07101624986106,-23.5562728,-46.8960736,
20:28:37.965,,813.415247662336,,,,,,,,,,,7.1725513458252,,,4.07349457885074,-23.5562121573587,-46.8960133234354,
20:28:37.966,,812.600036621094,,,,,,,,,,,5.70328230857849,,,4.07401575359512,-23.5562121573587,-46.8960133234354,
20:28:38.957,,813.115712079989,,,,,,,,,,,0.0,,,3.09045266953693,-23.5562121573587,-46.8960133234354,
20:28:38.964,,813.115712079989,,,,,,,,,,,0.0,,,3.08485830676319,-23.5562525734371,-46.8960256722663,
20:28:38.965,,812.600036621094,,,,,,,,,,,5.66760849952698,,,3.08541324779833,-23.5562525734371,-46.8960256722663,
20:28:39.634,,812.5,,,,,,,,,,,,,,,-23.5562806,-46.8960834,
20:28:39.639,,812.5,,,,,,,,,,,0.0,,,2.65145085281751,-23.5562806,-46.8960834,
20:28:39.941,,812.600036621094,,,,,,,,,,,0.0,,,2.49385246727533,-23.5562806,-46.8960834,
20:28:40.020,,816.987735804794,,,,,,,,,,,0.0,,,2.45592520687697,-23.5562806,-46.8960834,
20:28:40.022,,816.987735804794,,,,,,,,,,,0.0,,,2.45502987900273,-23.5562806,-46.8960834,
20:28:40.034,,816.987735804794,,,,,,,,,,,,,,,-23.5562314674472,-46.8960430497999,
20:28:40.038,,812.5,,,,,,,,,,,4.30676679611206,,,2.4608215727904,-23.5562314674472,-46.8960430497999,
20:28:40.983,,816.967973332004,,,,,,,,,,,,,,,-23.5562367566222,-46.8960448951961,
20:28:40.985,,812.5,,,,,,,,,,,3.66941385269165,,,2.6473988750657,-23.5562367566222,-46.8960448951961,
20:28:41.275,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562367566222,-46.8960448951961,
20:28:41.464,,,,,,,,,,,,,,0.0,,,-23.5562367566222,-46.8960448951961,
20:28:41.658,,,,,,,,,,1582.0,1.6,,,,,,-23.5562367566222,-46.8960448951961,
20:28:41.904,,,,,,,,19.0,,,,,,,,,-23.5562367566222,-46.8960448951961,
20:28:41.974,,816.846624616515,,,,,,,,,,,0.0,,,2.27972781613414,-23.5562367566222,-46.8960448951961,
20:28:41.975,,816.846624616515,,,,,,,,,,,,,,,-23.5562408299784,-46.896045878816,
20:28:42.158,,,,,,,,,9.0,,,,,,,,-23.5562408299784,-46.896045878816,
20:28:42.346,,,,,,,,,,,,37.0,,,,,-23.5562408299784,-46.896045878816,
20:28:42.545,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562408299784,-46.896045878816,
20:28:42.702,,812.600036621094,,,,,,,,,,,,,,,-23.5562892,-46.8960694,
20:28:42.704,,,,,,,,,,,,,0.0,,,2.06774476917897,-23.5562892,-46.8960694,
20:28:42.705,,812.600036621094,,,,,,,,,,,0.0,,,2.06747492425634,-23.5562892,-46.8960694,
20:28:42.706,,812.600036621094,,,,,,,,,,,2.91075446605682,,,2.06756563840038,-23.5562892,-46.8960694,
20:28:42.729,,,0.0,35.0416006170278,,,,,,,,,,0.0,,,-23.5562892,-46.8960694,
20:28:42.937,,,,,,,,,,1481.0,1.5,,,,,,-23.5562892,-46.8960694,
20:28:43.120,,,,,,,,19.0,,,,,,,,,-23.5562892,-46.8960694,
20:28:43.217,,816.291153291723,,,,,,,,,,,,,,,-23.5562437333364,-46.8960438990954,
20:28:43.246,,812.600036621094,,,,,,,,,,,2.30713856220245,,,2.08296802915727,-23.5562437333364,-46.8960438990954,
20:28:43.312,,,,,,,,,9.0,,,,,,,,-23.5562437333364,-46.8960438990954,
20:28:43.517,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562437333364,-46.8960438990954,
20:28:43.708,,,0.0,35.0416006170278,,,,,,,,,,0.0,0.0,,-23.5562437333364,-46.8960438990954,
20:28:43.905,,,,,,,,,,1417.0,1.4,,,,,,-23.5562437333364,-46.8960438990954,
20:28:44.096,,,,,,,,20.0,,,,,,,,,-23.5562437333364,-46.8960438990954,
20:28:44.227,,815.529217277419,,,,,,,,,,,,,,,-23.5562484860514,-46.896043485341,
20:28:44.289,,,,,,,,,9.0,,,,,,,,-23.5562484860514,-46.896043485341,
20:28:44.487,,,,,,,,,,,,37.0,,,,,-23.5562484860514,-46.896043485341,
20:28:44.685,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562484860514,-46.896043485341,
20:28:44.876,,,0.0,35.0416006170278,,,,,,,,,,0.0,0.0,,-23.5562484860514,-46.896043485341,
20:28:45.071,,,,,,,,,,1371.0,1.4,,,,,,-23.5562484860514,-46.896043485341,
20:28:45.221,,814.412751707801,,,,,,,,,,,0.0,,,1.68631217321622,-23.5562484860514,-46.896043485341,
20:28:45.222,,814.412751707801,,,,,,,,,,,,,,,-23.5562530623006,-46.8960413565806,
20:28:45.266,,,,,,,,20.0,,,,,,,,,-23.5562530623006,-46.8960413565806,
20:28:45.466,,,,,,,,,9.0,,,,,,,,-23.5562530623006,-46.8960413565806,
20:28:45.654,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562530623006,-46.8960413565806,
20:28:45.750,,812.600036621094,,,,,,,,,,,0.0,,,1.60446299624724,-23.5562530623006,-46.8960413565806,
20:28:45.752,,812.600036621094,,,,,,,,,,,,,,,-23.5563095,-46.8960899,
20:28:45.758,,812.600036621094,,,,,,,,,,,0.0,,,1.60320452421048,-23.5563095,-46.8960899,
20:28:45.785,,812.600036621094,,,,,,,,,,,1.76970144510269,,,1.60360720336862,-23.5563095,-46.8960899,
20:28:45.866,0.0,,0.0,35.0416006170278,,,,,,,,,,0.0,0.0,,-23.5563095,-46.8960899,
20:28:46.048,,,,,,,,,,1341.0,1.3,,,,,,-23.5563095,-46.8960899,
20:28:46.222,,813.72902768763,,,,,,,,,,,1.72766135931015,,,1.60838280155258,-23.5562573315044,-46.8960392617499,
20:28:46.244,,,,,,,,19.0,,,,,,,,,-23.5562573315044,-46.8960392617499,
20:28:46.439,,,,,,,,,9.0,,,,,,,,-23.5562573315044,-46.8960392617499,
20:28:46.629,,,,,,,,,,,,37.0,,,,,-23.5562573315044,-46.8960392617499,
20:28:46.830,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562573315044,-46.8960392617499,
20:28:47.020,0.0,,0.0,35.0416006170278,,,,,,,,,,0.0,0.0,,-23.5562573315044,-46.8960392617499,
20:28:47.215,,,,,,,,,,1317.0,1.3,,,,,,-23.5562573315044,-46.8960392617499,
20:28:47.219,,,,,,,,,,,,,0.0,,,1.47870698742987,-23.5562573315044,-46.8960392617499,
20:28:47.220,,812.759791088262,,,,,,,,,,,,,,,-23.5562573315044,-46.8960392617499,
20:28:47.221,,812.759791088262,,,,,,,,,,,,,,,-23.5562619680203,-46.8960372783578,
20:28:47.415,,,,,,,,19.0,,,,,,,,,-23.5562619680203,-46.8960372783578,
20:28:47.609,,,,,,,,,9.0,,,,,,,,-23.5562619680203,-46.8960372783578,
20:28:47.806,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562619680203,-46.8960372783578,
20:28:48.000,0.0,,0.0,35.0416006170278,,,,,,,,,,0.0,0.0,,-23.5562619680203,-46.8960372783578,
20:28:48.192,,,,,,,,,,1294.0,1.3,,,,,,-23.5562619680203,-46.8960372783578,
20:28:48.218,,810.164580958573,,,,,,,,,,,0.0,,,1.36823582047313,-23.5562619680203,-46.8960372783578,
20:28:48.225,,810.164580958573,,,,,,,,,,,,,,,-23.5562771622351,-46.8960298751992,
20:28:48.226,,810.164580958573,,,,,,,,,,,0.0,,,1.36747142177362,-23.5562771622351,-46.8960298751992,
20:28:48.239,,812.600036621094,,,,,,,,,,,2.50455236434937,,,1.36861597800352,-23.5562771622351,-46.8960298751992,
20:28:48.391,,,,,,,,19.0,,,,,,,,,-23.5562771622351,-46.8960298751992,
20:28:48.582,,,,,,,,,9.0,,,,,,,,-23.5562771622351,-46.8960298751992,
20:28:48.785,,,,,,,,,,,,37.0,,,,,-23.5562771622351,-46.8960298751992,
20:28:48.831,,812.600036621094,,,,,,,,,,,0.0,,,1.31067344114956,-23.5562771622351,-46.8960298751992,
20:28:48.833,,812.600036621094,,,,,,,,,,,,,,,-23.5562774,-46.8960802,
20:28:48.849,,812.600036621094,,,,,,,,,,,0.0,,,1.30900794883645,-23.5562774,-46.8960802,
20:28:48.938,,812.600036621094,,,,,,,,,,,0.0,,,1.30070488839042,-23.5562774,-46.8960802,
20:28:49.090,,,,,21.0,58.0,29.0,,,,,,,,,,-23.5562774,-46.8960802,
